PNAME
Yvonne Vera
James Leonard
Roger D. Abrahams
Vincent Carretta
Esi Sutherland-Addy
R. S. Gwynn
Bayo Ogunjimi
Marie-Chantal Kalisa
John William Johnson
Tony Martin
Various
Amandina Lihamba
Nobantu Rasebotsa
Kevin Powell
Werner Sollors
New Internationalist
McGraw-Hill
Gcina Mhlophe
Jacana Media
Sheila Meintjes
ValZrie Orlando
Kenneth W. Harrow
Anthonia C. Kalu
Toyin Falola
Monica Arac de Nyeko
Linda Rode
K. Limakatso Kendall
Lorenz Graham
Arja Salafranca
Isabel Balseiro
Harold Clurman
Sandra M. Gilbert
Phillip Lopate
Mary Oliver
Edward C. Goodman
David Wagoner
Robert Shapard
Donald McQuade
Margarite Fernandez Olmos
Camille T. Dungy
George McMichael
Bert Hitchcock
Various
Barbara Parisi
Lori Foster
Roy J. Cook
J. D. McClatchy
